engine	symbol	class	base_hash	xetex_hash	external_boundaries	diff
shared	ztakefrac	XetexWidenedDuplicate	-	ca8bfaafdeda3ece	Clean	IdenticalAfterNormalization
shared	ztokenshow	TexCompatibleDuplicate	b5903113f74997aa	b5903113f74997aa	Clean	IdenticalAfterNormalization
shared	ztokenstostring	XetexWidenedDuplicate	-	959b1e254f38b9fe	Clean	IdenticalAfterNormalization
shared	ztotalpw	XetexWidenedDuplicate	-	b913f6e897f986ec	Clean	IdenticalAfterNormalization
shared	ztriefix	XetexWidenedDuplicate	3d8eacbf3f46496a	605c7a4d9ad7a138	Clean	SmallGuardedBehavior
shared	ztrienode	TexCompatibleDuplicate	4f51cefefd64e310	4f51cefefd64e310	Clean	IdenticalAfterNormalization
shared	ztriepack	TexCompatibleDuplicate	07a62cb3ac76b37a	07a62cb3ac76b37a	Clean	IdenticalAfterNormalization
shared	ztrybreak	XetexWidenedDuplicate	e77d2856f06e9ec3	1b3660864a3dfe27	Clean	SmallGuardedBehavior
shared	zunifrand	XetexWidenedDuplicate	-	627988fd7b0398e5	Clean	IdenticalAfterNormalization
shared	zvardelimiter	BoundaryAdapterRequired	1f25f96b42da6058	b477ccdd25dbd065	GlyphAssembly,free_ot_assembly,zbuildopentypeassembly	HostBoundaryDifference
shared	zvertbreak	BoundaryAdapterRequired	3cbcc707d491e35b	09c672702e13a3a3	fputs	HostBoundaryDifference
shared	zvpackage	XetexWidenedDuplicate	5ff3ffc63ec253a5	f63aea84c8c18aa2	Clean	SmallGuardedBehavior
shared	zvsplit	XetexWidenedDuplicate	118b9f5d08b4ecc4	0201833d82461bfe	Clean	SmallGuardedBehavior
shared	zxetexscandimen	XetexWidenedDuplicate	-	c86f1b23087620e1	Clean	IdenticalAfterNormalization
shared	zxnoverd	TexCompatibleDuplicate	a95df71b42130454	a95df71b42130454	Clean	IdenticalAfterNormalization
shared	zxovern	TexCompatibleDuplicate	12b7819c213317c8	12b7819c213317c8	Clean	IdenticalAfterNormalization
shared	zzprintbuffer	EtexProfileGated	1ca70231fd49b42d	-	Clean	IdenticalAfterNormalization
shared	zzreadbuffer	EtexProfileGated	73848ea5c76eb0a3	-	Clean	IdenticalAfterNormalization
boundary	jumpout	AdaptedNativeIo	-	-	AllowedManualAdapter	-
boundary	openlogfile	AdaptedNativeIo	-	-	AllowedManualAdapter	-
boundary	buildpage	StrippedOutput	-	-	AllowedManualAdapter	-
boundary	zloadpicture	StrippedOutput	-	-	AllowedManualAdapter	-
boundary	zoutwhat	StrippedOutput	-	-	AllowedManualAdapter	-
boundary	zprunepagetop	StrippedOutput	-	-	AllowedManualAdapter	-
boundary	zshipout	StrippedOutput	-	-	AllowedManualAdapter	-
boundary	zbuildopentypeassembly	StrippedNativeFontAssembly	-	-	AllowedManualAdapter	-
